scenario,avg_peak_change_m,peak_abs_change_m,peak_abs_change_node,base_depth_abs_m,pct_change_abs,peak_increase_m,peak_increase_node,base_depth_incr_m,pct_change_incr
I,-0.012126354134707099,-0.08364774335754767,J128-S_depth,0.1534762050449091,-54.5020925771987,0.019905997953473586,J471-S_depth,0.27433006249088165,7.2562218565219165
V,-0.0013642259908204963,-0.03022008222757433,J640-S_depth,0.18794549993591866,-16.079173078300933,0.017591049264444325,J136-S_depth,0.37609583798276003,4.677278365747479
V&I,-0.014291287947916337,-0.08438125533816074,J128-S_depth,0.1534762050449091,-54.9800246321374,0.016974171013469763,J471-S_depth,0.27433006249088165,6.187499415611426
