scenario,node_name,peak_vol_m3,avg_vol_m3
Base,J227-S_volume,99.36660838523443,22.820769348887556
I,J227-S_volume,95.5773738837382,20.944807113677562
V,J227-S_volume,100.02812751281643,22.67526500752753
V&I,J227-S_volume,95.57799130000272,20.624544382974644
