scenario,avg_peak_change_m3,peak_abs_vol_change_m3,peak_abs_change_node,base_vol_abs_m3,pct_change_abs,peak_vol_increase_m3,peak_increase_node,base_vol_incr_m3,pct_change_incr
Base,0.0,0.0,J105-S_volume,19.54773649955205,0.0,0.0,J105-S_volume,19.54773649955205,0.0
I,-1.8759622352100016,-17.23800690746777,J130-S_volume,49.83412876411721,-34.5907660773231,5.1256676459158825,J88-S_volume,60.88672884917517,8.418365944100675
V,-0.14550434136002896,4.9820304831126805,J88-S_volume,60.88672884917517,8.182457125351334,4.9820304831126805,J88-S_volume,60.88672884917517,8.182457125351334
V&I,-2.1962249659129145,-18.110343764119936,J130-S_volume,49.83412876411721,-36.34124687890639,4.977761532149813,J88-S_volume,60.88672884917517,8.175445825773323
