scenario,node_name,peak_depth_m,avg_depth_m
Base,J227-S_depth,0.3948990199969233,0.17265268826768118
I,J227-S_depth,0.38792233669577236,0.16052633413297407
V,J227-S_depth,0.3961009932430088,0.17128846227686068
V&I,J227-S_depth,0.3879234865329931,0.1583614003197648
