parameter,output,spearman_rho,p_value
SubcatchWidth,max_depth_J165-S,0.4167,0.0
n_perv,max_depth_J165-S,-0.3304,0.0
n_imperv,max_depth_J165-S,-0.21,0.0
slope%,max_depth_J165-S,0.1727,0.0001
dstore_imperv_in,max_depth_J165-S,-0.0375,0.4025
IMD,max_depth_J165-S,-0.0282,0.5299
dstore_perv_in,max_depth_J165-S,0.0091,0.8397
%Imperv,max_depth_J171-S,0.6459,0.0
SubcatchWidth,max_depth_J171-S,0.4124,0.0
n_imperv,max_depth_J171-S,-0.2636,0.0
n_perv,max_depth_J171-S,-0.2465,0.0
slope%,max_depth_J171-S,0.1691,0.0001
dstore_imperv_in,max_depth_J171-S,-0.0375,0.4023
IMD,max_depth_J171-S,-0.0277,0.5371
dstore_perv_in,max_depth_J171-S,0.0091,0.8398
%Imperv,max_depth_J177-S,0.6377,0.0
SubcatchWidth,max_depth_J177-S,0.4259,0.0
n_imperv,max_depth_J177-S,-0.2741,0.0
n_perv,max_depth_J177-S,-0.2416,0.0
slope%,max_depth_J177-S,0.1718,0.0001
dstore_imperv_in,max_depth_J177-S,-0.0339,0.4499
dstore_perv_in,max_depth_J177-S,0.0278,0.5355
IMD,max_depth_J177-S,-0.0275,0.5393
%Imperv,max_depth_J182-S,0.6307,0.0
SubcatchWidth,max_depth_J182-S,0.4294,0.0
n_perv,max_depth_J182-S,-0.2753,0.0
n_imperv,max_depth_J182-S,-0.2559,0.0
slope%,max_depth_J182-S,0.176,0.0001
dstore_imperv_in,max_depth_J182-S,-0.0364,0.4163
IMD,max_depth_J182-S,-0.0325,0.4686
dstore_perv_in,max_depth_J182-S,0.0238,0.5953
%Imperv,max_depth_J191-S,0.6242,0.0
SubcatchWidth,max_depth_J191-S,0.4331,0.0
n_perv,max_depth_J191-S,-0.3014,0.0
n_imperv,max_depth_J191-S,-0.2466,0.0
slope%,max_depth_J191-S,0.1787,0.0001
dstore_imperv_in,max_depth_J191-S,-0.035,0.4346
IMD,max_depth_J191-S,-0.0284,0.5261
dstore_perv_in,max_depth_J191-S,0.0255,0.5693
%Imperv,max_depth_J204-S,0.6222,0.0
SubcatchWidth,max_depth_J204-S,0.4359,0.0
n_perv,max_depth_J204-S,-0.3016,0.0
n_imperv,max_depth_J204-S,-0.2479,0.0
slope%,max_depth_J204-S,0.1793,0.0001
dstore_imperv_in,max_depth_J204-S,-0.0329,0.4631
IMD,max_depth_J204-S,-0.0267,0.5517
dstore_perv_in,max_depth_J204-S,0.025,0.5768
%Imperv,max_depth_J208-S,0.6278,0.0
SubcatchWidth,max_depth_J208-S,0.4341,0.0
n_imperv,max_depth_J208-S,-0.2824,0.0
n_perv,max_depth_J208-S,-0.2502,0.0
slope%,max_depth_J208-S,0.1752,0.0001
dstore_imperv_in,max_depth_J208-S,-0.034,0.4475
dstore_perv_in,max_depth_J208-S,0.0305,0.4966
IMD,max_depth_J208-S,-0.0284,0.5271
%Imperv,max_depth_J211-S,0.602,0.0
SubcatchWidth,max_depth_J211-S,0.4433,0.0
n_perv,max_depth_J211-S,-0.3479,0.0
n_imperv,max_depth_J211-S,-0.2259,0.0
slope%,max_depth_J211-S,0.1874,0.0
dstore_imperv_in,max_depth_J211-S,-0.0395,0.3776
IMD,max_depth_J211-S,-0.0341,0.447
dstore_perv_in,max_depth_J211-S,0.0153,0.7325
%Imperv,max_depth_J227-S,0.653,0.0
SubcatchWidth,max_depth_J227-S,0.4097,0.0
n_perv,max_depth_J227-S,-0.2929,0.0
n_imperv,max_depth_J227-S,-0.2262,0.0
slope%,max_depth_J227-S,0.1671,0.0002
dstore_imperv_in,max_depth_J227-S,-0.0389,0.3853
IMD,max_depth_J227-S,-0.0299,0.505
dstore_perv_in,max_depth_J227-S,0.0077,0.863
%Imperv,max_depth_J231-S,0.765,0.0
SubcatchWidth,max_depth_J231-S,0.315,0.0
n_perv,max_depth_J231-S,-0.2137,0.0
n_imperv,max_depth_J231-S,-0.1659,0.0002
dstore_perv_in,max_depth_J231-S,-0.1299,0.0036
slope%,max_depth_J231-S,0.129,0.0039
IMD,max_depth_J231-S,-0.0492,0.2722
dstore_imperv_in,max_depth_J231-S,-0.0348,0.4381
%Imperv,max_depth_J232-S,0.8264,0.0
n_imperv,max_depth_J232-S,0.2538,0.0
n_perv,max_depth_J232-S,-0.1922,0.0
dstore_perv_in,max_depth_J232-S,-0.1813,0.0
dstore_imperv_in,max_depth_J232-S,-0.0971,0.03
IMD,max_depth_J232-S,-0.0935,0.0365
SubcatchWidth,max_depth_J232-S,-0.0714,0.111
slope%,max_depth_J232-S,-0.0302,0.501
%Imperv,max_depth_J234-S,0.6018,0.0
SubcatchWidth,max_depth_J234-S,0.4454,0.0
n_perv,max_depth_J234-S,-0.3356,0.0
n_imperv,max_depth_J234-S,-0.2386,0.0
