parameter,output,spearman_rho,p_value
dstore_imperv_in,max_depth_J50-S,-0.0384,0.3916
IMD,max_depth_J50-S,-0.0282,0.5288
dstore_perv_in,max_depth_J50-S,-0.001,0.9823
%Imperv,max_depth_J506-S,0.6627,0.0
SubcatchWidth,max_depth_J506-S,0.4113,0.0
n_imperv,max_depth_J506-S,-0.2809,0.0
n_perv,max_depth_J506-S,-0.2094,0.0
slope%,max_depth_J506-S,0.1631,0.0003
dstore_imperv_in,max_depth_J506-S,-0.0354,0.4296
dstore_perv_in,max_depth_J506-S,0.0335,0.4553
IMD,max_depth_J506-S,-0.0259,0.5636
%Imperv,max_depth_J507-S,0.5637,0.0
SubcatchWidth,max_depth_J507-S,0.4678,0.0
n_perv,max_depth_J507-S,-0.3662,0.0
n_imperv,max_depth_J507-S,-0.2463,0.0
slope%,max_depth_J507-S,0.1972,0.0
dstore_imperv_in,max_depth_J507-S,-0.033,0.4616
IMD,max_depth_J507-S,-0.0287,0.5213
dstore_perv_in,max_depth_J507-S,0.0207,0.644
%Imperv,max_depth_J512-S,0.5648,0.0
SubcatchWidth,max_depth_J512-S,0.4679,0.0
n_perv,max_depth_J512-S,-0.3627,0.0
n_imperv,max_depth_J512-S,-0.2475,0.0
slope%,max_depth_J512-S,0.1968,0.0
dstore_imperv_in,max_depth_J512-S,-0.0328,0.4646
dstore_perv_in,max_depth_J512-S,0.0281,0.5306
IMD,max_depth_J512-S,-0.0258,0.5647
%Imperv,max_depth_J534-S,0.6004,0.0
SubcatchWidth,max_depth_J534-S,0.4474,0.0
n_perv,max_depth_J534-S,-0.3284,0.0
n_imperv,max_depth_J534-S,-0.2427,0.0
slope%,max_depth_J534-S,0.1862,0.0
dstore_imperv_in,max_depth_J534-S,-0.0369,0.4102
IMD,max_depth_J534-S,-0.0296,0.5093
dstore_perv_in,max_depth_J534-S,0.0182,0.6852
%Imperv,max_depth_J539-S,0.6121,0.0
SubcatchWidth,max_depth_J539-S,0.442,0.0
n_perv,max_depth_J539-S,-0.3025,0.0
n_imperv,max_depth_J539-S,-0.2578,0.0
slope%,max_depth_J539-S,0.1826,0.0
dstore_imperv_in,max_depth_J539-S,-0.0321,0.4745
dstore_perv_in,max_depth_J539-S,0.0261,0.5598
IMD,max_depth_J539-S,-0.0249,0.578
%Imperv,max_depth_J541-S,0.6299,0.0
SubcatchWidth,max_depth_J541-S,0.4229,0.0
n_imperv,max_depth_J541-S,-0.2867,0.0
n_perv,max_depth_J541-S,-0.2328,0.0
slope%,max_depth_J541-S,0.1723,0.0001
dstore_imperv_in,max_depth_J541-S,-0.0359,0.4235
IMD,max_depth_J541-S,-0.0311,0.4883
dstore_perv_in,max_depth_J541-S,0.0262,0.5589
%Imperv,max_depth_J548-S,0.6098,0.0
SubcatchWidth,max_depth_J548-S,0.4441,0.0
n_perv,max_depth_J548-S,-0.3019,0.0
n_imperv,max_depth_J548-S,-0.2603,0.0
slope%,max_depth_J548-S,0.1836,0.0
dstore_imperv_in,max_depth_J548-S,-0.0308,0.4923
dstore_perv_in,max_depth_J548-S,0.0265,0.5543
IMD,max_depth_J548-S,-0.0243,0.5884
%Imperv,max_depth_J556-S,0.5546,0.0
SubcatchWidth,max_depth_J556-S,0.457,0.0
n_perv,max_depth_J556-S,-0.4393,0.0
slope%,max_depth_J556-S,0.1972,0.0
n_imperv,max_depth_J556-S,-0.1744,0.0001
dstore_imperv_in,max_depth_J556-S,-0.0368,0.4114
IMD,max_depth_J556-S,-0.0312,0.487
dstore_perv_in,max_depth_J556-S,0.007,0.8753
SubcatchWidth,max_depth_J567-S,0.5228,0.0
n_perv,max_depth_J567-S,-0.4321,0.0
%Imperv,max_depth_J567-S,0.3837,0.0
n_imperv,max_depth_J567-S,-0.2667,0.0
slope%,max_depth_J567-S,0.2189,0.0
dstore_perv_in,max_depth_J567-S,-0.1982,0.0
IMD,max_depth_J567-S,-0.0684,0.1265
dstore_imperv_in,max_depth_J567-S,-0.0187,0.6762
%Imperv,max_depth_J568-S,0.5533,0.0
SubcatchWidth,max_depth_J568-S,0.4674,0.0
n_imperv,max_depth_J568-S,-0.3119,0.0
n_perv,max_depth_J568-S,-0.2543,0.0
slope%,max_depth_J568-S,0.1877,0.0
dstore_perv_in,max_depth_J568-S,-0.1765,0.0001
IMD,max_depth_J568-S,-0.1376,0.002
dstore_imperv_in,max_depth_J568-S,-0.0173,0.7
%Imperv,max_depth_J571-S,0.5424,0.0
SubcatchWidth,max_depth_J571-S,0.4664,0.0
n_imperv,max_depth_J571-S,-0.4012,0.0
slope%,max_depth_J571-S,0.1773,0.0001
IMD,max_depth_J571-S,-0.1569,0.0004
n_perv,max_depth_J571-S,-0.1213,0.0066
dstore_perv_in,max_depth_J571-S,-0.1051,0.0188
dstore_imperv_in,max_depth_J571-S,-0.0009,0.984
%Imperv,max_depth_J576-S,0.5373,0.0
SubcatchWidth,max_depth_J576-S,0.4734,0.0
n_perv,max_depth_J576-S,-0.4191,0.0
n_imperv,max_depth_J576-S,-0.2155,0.0
slope%,max_depth_J576-S,0.2049,0.0
dstore_imperv_in,max_depth_J576-S,-0.0298,0.5063
IMD,max_depth_J576-S,-0.0273,0.542
dstore_perv_in,max_depth_J576-S,0.0156,0.7274
%Imperv,max_depth_J578-S,0.6206,0.0
SubcatchWidth,max_depth_J578-S,0.4287,0.0
n_perv,max_depth_J578-S,-0.3368,0.0
n_imperv,max_depth_J578-S,-0.2239,0.0
slope%,max_depth_J578-S,0.1808,0.0
dstore_imperv_in,max_depth_J578-S,-0.0399,0.3731
IMD,max_depth_J578-S,-0.0314,0.4832
dstore_perv_in,max_depth_J578-S,0.0235,0.6005
SubcatchWidth,max_depth_J586-S,0.5026,0.0
%Imperv,max_depth_J586-S,0.4728,0.0
n_perv,max_depth_J586-S,-0.4562,0.0
n_imperv,max_depth_J586-S,-0.224,0.0
slope%,max_depth_J586-S,0.2211,0.0
dstore_imperv_in,max_depth_J586-S,-0.025,0.577
IMD,max_depth_J586-S,-0.023,0.6086
dstore_perv_in,max_depth_J586-S,0.0164,0.7144
%Imperv,max_depth_J587-S,0.4986,0.0
SubcatchWidth,max_depth_J587-S,0.4888,0.0
n_perv,max_depth_J587-S,-0.4505,0.0
slope%,max_depth_J587-S,0.2145,0.0
n_imperv,max_depth_J587-S,-0.2104,0.0
dstore_imperv_in,max_depth_J587-S,-0.0261,0.5606
IMD,max_depth_J587-S,-0.0218,0.6267
dstore_perv_in,max_depth_J587-S,0.0166,0.7119
SubcatchWidth,max_depth_J592-S,0.5038,0.0
%Imperv,max_depth_J592-S,0.47,0.0
n_perv,max_depth_J592-S,-0.4565,0.0
n_imperv,max_depth_J592-S,-0.2256,0.0
slope%,max_depth_J592-S,0.2222,0.0
dstore_imperv_in,max_depth_J592-S,-0.0246,0.5834
IMD,max_depth_J592-S,-0.0225,0.6151
dstore_perv_in,max_depth_J592-S,0.0165,0.7133
%Imperv,max_depth_J60-S,0.6307,0.0
SubcatchWidth,max_depth_J60-S,0.4299,0.0
n_perv,max_depth_J60-S,-0.305,0.0
n_imperv,max_depth_J60-S,-0.2357,0.0
slope%,max_depth_J60-S,0.1774,0.0001
dstore_imperv_in,max_depth_J60-S,-0.0337,0.4523
IMD,max_depth_J60-S,-0.0275,0.5399
dstore_perv_in,max_depth_J60-S,0.0212,0.6358
%Imperv,max_depth_J609-S,0.6403,0.0
SubcatchWidth,max_depth_J609-S,0.4169,0.0
n_perv,max_depth_J609-S,-0.3279,0.0
n_imperv,max_depth_J609-S,-0.212,0.0
slope%,max_depth_J609-S,0.1734,0.0001
dstore_imperv_in,max_depth_J609-S,-0.037,0.4088
IMD,max_depth_J609-S,-0.0271,0.5448
dstore_perv_in,max_depth_J609-S,0.0134,0.7649
%Imperv,max_depth_J619-S,0.6347,0.0
SubcatchWidth,max_depth_J619-S,0.4204,0.0
n_perv,max_depth_J619-S,-0.323,0.0
n_imperv,max_depth_J619-S,-0.2207,0.0
slope%,max_depth_J619-S,0.1739,0.0001
dstore_imperv_in,max_depth_J619-S,-0.0367,0.413
IMD,max_depth_J619-S,-0.0281,0.5308
dstore_perv_in,max_depth_J619-S,0.0137,0.7595
%Imperv,max_depth_J62-S,0.6314,0.0
SubcatchWidth,max_depth_J62-S,0.4293,0.0
n_perv,max_depth_J62-S,-0.3031,0.0
n_imperv,max_depth_J62-S,-0.2352,0.0
slope%,max_depth_J62-S,0.1775,0.0001
dstore_imperv_in,max_depth_J62-S,-0.0343,0.4437
IMD,max_depth_J62-S,-0.0284,0.5267
dstore_perv_in,max_depth_J62-S,0.022,0.623
%Imperv,max_depth_J620-S,0.5924,0.0
SubcatchWidth,max_depth_J620-S,0.4505,0.0
n_perv,max_depth_J620-S,-0.3377,0.0
n_imperv,max_depth_J620-S,-0.2463,0.0
slope%,max_depth_J620-S,0.1882,0.0
dstore_imperv_in,max_depth_J620-S,-0.0301,0.5016
IMD,max_depth_J620-S,-0.0244,0.5863
dstore_perv_in,max_depth_J620-S,0.0165,0.7132
%Imperv,max_depth_J624-S,0.5921,0.0
SubcatchWidth,max_depth_J624-S,0.4515,0.0
n_perv,max_depth_J624-S,-0.3333,0.0
n_imperv,max_depth_J624-S,-0.2512,0.0
slope%,max_depth_J624-S,0.1889,0.0
dstore_imperv_in,max_depth_J624-S,-0.0292,0.5143
IMD,max_depth_J624-S,-0.0243,0.5884
dstore_perv_in,max_depth_J624-S,0.0202,0.6531
SubcatchWidth,max_depth_J632-S,0.5042,0.0
%Imperv,max_depth_J632-S,0.4683,0.0
n_perv,max_depth_J632-S,-0.4572,0.0
n_imperv,max_depth_J632-S,-0.2258,0.0
slope%,max_depth_J632-S,0.222,0.0
dstore_imperv_in,max_depth_J632-S,-0.0246,0.5837
IMD,max_depth_J632-S,-0.0208,0.6426
dstore_perv_in,max_depth_J632-S,0.0163,0.7163
%Imperv,max_depth_J637-S,0.5284,0.0
SubcatchWidth,max_depth_J637-S,0.4768,0.0
n_perv,max_depth_J637-S,-0.4282,0.0
n_imperv,max_depth_J637-S,-0.2133,0.0
slope%,max_depth_J637-S,0.2081,0.0
dstore_imperv_in,max_depth_J637-S,-0.0292,0.5144
IMD,max_depth_J637-S,-0.0242,0.5891
dstore_perv_in,max_depth_J637-S,0.0165,0.7124
%Imperv,max_depth_J640-S,0.5335,0.0
SubcatchWidth,max_depth_J640-S,0.4749,0.0
n_perv,max_depth_J640-S,-0.421,0.0
n_imperv,max_depth_J640-S,-0.2164,0.0
slope%,max_depth_J640-S,0.206,0.0
dstore_imperv_in,max_depth_J640-S,-0.029,0.5176
IMD,max_depth_J640-S,-0.0258,0.5645
dstore_perv_in,max_depth_J640-S,0.0164,0.7139
%Imperv,max_depth_J659-S,0.5374,0.0
SubcatchWidth,max_depth_J659-S,0.472,0.0
n_perv,max_depth_J659-S,-0.4122,0.0
n_imperv,max_depth_J659-S,-0.2222,0.0
slope%,max_depth_J659-S,0.2045,0.0
dstore_imperv_in,max_depth_J659-S,-0.0279,0.5332
dstore_perv_in,max_depth_J659-S,0.02,0.6562
IMD,max_depth_J659-S,-0.0184,0.6807
%Imperv,max_depth_J672-S,0.6145,0.0
SubcatchWidth,max_depth_J672-S,0.4365,0.0
n_perv,max_depth_J672-S,-0.3237,0.0
n_imperv,max_depth_J672-S,-0.2355,0.0
slope%,max_depth_J672-S,0.1818,0.0
dstore_imperv_in,max_depth_J672-S,-0.0356,0.4269
IMD,max_depth_J672-S,-0.0309,0.4912
dstore_perv_in,max_depth_J672-S,0.0206,0.6463
%Imperv,max_depth_J675-S,0.5287,0.0
n_perv,max_depth_J675-S,-0.472,0.0
SubcatchWidth,max_depth_J675-S,0.464,0.0
slope%,max_depth_J675-S,0.2038,0.0
n_imperv,max_depth_J675-S,-0.1589,0.0004
dstore_imperv_in,max_depth_J675-S,-0.0339,0.4499
IMD,max_depth_J675-S,-0.0307,0.4939
dstore_perv_in,max_depth_J675-S,0.0081,0.8566
%Imperv,max_depth_J686-S,0.6786,0.0
SubcatchWidth,max_depth_J686-S,0.3921,0.0
n_perv,max_depth_J686-S,-0.2478,0.0
n_imperv,max_depth_J686-S,-0.2263,0.0
slope%,max_depth_J686-S,0.159,0.0004
dstore_imperv_in,max_depth_J686-S,-0.0417,0.3526
IMD,max_depth_J686-S,-0.0307,0.494
dstore_perv_in,max_depth_J686-S,0.0034,0.9392
SubcatchWidth,max_depth_J694-S,-0.1465,0.001
n_perv,max_depth_J694-S,-0.1461,0.0011
slope%,max_depth_J694-S,-0.1208,0.0068
n_imperv,max_depth_J694-S,0.1092,0.0146
dstore_imperv_in,max_depth_J694-S,-0.0588,0.1891
IMD,max_depth_J694-S,-0.0389,0.3857
dstore_perv_in,max_depth_J694-S,-0.0374,0.4046
%Imperv,max_depth_J694-S,-0.0186,0.6789
%Imperv,max_depth_J695-S,0.6124,0.0
SubcatchWidth,max_depth_J695-S,0.4388,0.0
n_perv,max_depth_J695-S,-0.3163,0.0
n_imperv,max_depth_J695-S,-0.2494,0.0
slope%,max_depth_J695-S,0.1869,0.0
dstore_imperv_in,max_depth_J695-S,-0.0335,0.4545
IMD,max_depth_J695-S,-0.0284,0.5258
dstore_perv_in,max_depth_J695-S,0.0121,0.7875
%Imperv,max_depth_J7-S,0.6402,0.0
SubcatchWidth,max_depth_J7-S,0.4197,0.0
n_imperv,max_depth_J7-S,-0.2607,0.0
n_perv,max_depth_J7-S,-0.2566,0.0
slope%,max_depth_J7-S,0.1688,0.0001
dstore_imperv_in,max_depth_J7-S,-0.0367,0.4126
IMD,max_depth_J7-S,-0.0289,0.5186
dstore_perv_in,max_depth_J7-S,0.021,0.6399
%Imperv,max_depth_J71-S,0.6482,0.0
SubcatchWidth,max_depth_J71-S,0.4191,0.0
n_perv,max_depth_J71-S,-0.2966,0.0
n_imperv,max_depth_J71-S,-0.2293,0.0
slope%,max_depth_J71-S,0.1752,0.0001
dstore_imperv_in,max_depth_J71-S,-0.0372,0.4067
IMD,max_depth_J71-S,-0.036,0.4221
dstore_perv_in,max_depth_J71-S,0.0192,0.6686
%Imperv,max_depth_J712-S,0.6595,0.0
SubcatchWidth,max_depth_J712-S,0.4086,0.0
n_perv,max_depth_J712-S,-0.2547,0.0
n_imperv,max_depth_J712-S,-0.2441,0.0
slope%,max_depth_J712-S,0.1651,0.0002
dstore_imperv_in,max_depth_J712-S,-0.0391,0.3825
IMD,max_depth_J712-S,-0.0297,0.507
dstore_perv_in,max_depth_J712-S,0.009,0.8409
%Imperv,max_depth_J714-S,0.6113,0.0
SubcatchWidth,max_depth_J714-S,0.4396,0.0
n_perv,max_depth_J714-S,-0.3275,0.0
n_imperv,max_depth_J714-S,-0.2368,0.0
slope%,max_depth_J714-S,0.1841,0.0
dstore_imperv_in,max_depth_J714-S,-0.0323,0.4709
IMD,max_depth_J714-S,-0.0245,0.584
dstore_perv_in,max_depth_J714-S,0.023,0.6081
%Imperv,max_depth_J72-S,0.6359,0.0
SubcatchWidth,max_depth_J72-S,0.4181,0.0
n_perv,max_depth_J72-S,-0.3315,0.0
n_imperv,max_depth_J72-S,-0.2122,0.0
slope%,max_depth_J72-S,0.1728,0.0001
dstore_imperv_in,max_depth_J72-S,-0.0378,0.3994
IMD,max_depth_J72-S,-0.0269,0.5485
dstore_perv_in,max_depth_J72-S,0.0071,0.8747
%Imperv,max_depth_J722-S,0.6577,0.0
SubcatchWidth,max_depth_J722-S,0.4089,0.0
n_imperv,max_depth_J722-S,-0.2517,0.0
n_perv,max_depth_J722-S,-0.2496,0.0
slope%,max_depth_J722-S,0.1645,0.0002
dstore_imperv_in,max_depth_J722-S,-0.0388,0.3868
IMD,max_depth_J722-S,-0.0293,0.513
dstore_perv_in,max_depth_J722-S,0.0121,0.7871
%Imperv,max_depth_J732-S,0.6081,0.0
SubcatchWidth,max_depth_J732-S,0.4407,0.0
n_perv,max_depth_J732-S,-0.3288,0.0
n_imperv,max_depth_J732-S,-0.2403,0.0
slope%,max_depth_J732-S,0.184,0.0
dstore_imperv_in,max_depth_J732-S,-0.0328,0.4649
IMD,max_depth_J732-S,-0.0265,0.5539
dstore_perv_in,max_depth_J732-S,0.0257,0.5671
%Imperv,max_depth_J733-S,0.5425,0.0
n_perv,max_depth_J733-S,-0.4841,0.0
SubcatchWidth,max_depth_J733-S,0.4456,0.0
slope%,max_depth_J733-S,0.1959,0.0
n_imperv,max_depth_J733-S,-0.1376,0.002
dstore_imperv_in,max_depth_J733-S,-0.0385,0.3901
IMD,max_depth_J733-S,-0.0272,0.5446
dstore_perv_in,max_depth_J733-S,-0.0193,0.6674
%Imperv,max_depth_J748-S,0.5694,0.0
SubcatchWidth,max_depth_J748-S,0.4607,0.0
n_perv,max_depth_J748-S,-0.3883,0.0
n_imperv,max_depth_J748-S,-0.221,0.0
slope%,max_depth_J748-S,0.1987,0.0
dstore_imperv_in,max_depth_J748-S,-0.0345,0.4414
IMD,max_depth_J748-S,-0.0318,0.4783
dstore_perv_in,max_depth_J748-S,0.0228,0.6104
%Imperv,max_depth_J749-S,0.6085,0.0
SubcatchWidth,max_depth_J749-S,0.4388,0.0
n_perv,max_depth_J749-S,-0.3457,0.0
n_imperv,max_depth_J749-S,-0.2237,0.0
slope%,max_depth_J749-S,0.1852,0.0
dstore_imperv_in,max_depth_J749-S,-0.0386,0.3895
IMD,max_depth_J749-S,-0.0311,0.4879
dstore_perv_in,max_depth_J749-S,0.0118,0.7921
%Imperv,max_depth_J751-S,0.6313,0.0
SubcatchWidth,max_depth_J751-S,0.4349,0.0
n_imperv,max_depth_J751-S,-0.2732,0.0
n_perv,max_depth_J751-S,-0.2542,0.0
slope%,max_depth_J751-S,0.1781,0.0001
dstore_imperv_in,max_depth_J751-S,-0.0326,0.4672
dstore_perv_in,max_depth_J751-S,0.0276,0.5373
IMD,max_depth_J751-S,-0.0274,0.5407
%Imperv,max_depth_J756-S,0.5939,0.0
SubcatchWidth,max_depth_J756-S,0.4538,0.0
n_perv,max_depth_J756-S,-0.3154,0.0
n_imperv,max_depth_J756-S,-0.2669,0.0
slope%,max_depth_J756-S,0.1877,0.0
dstore_perv_in,max_depth_J756-S,0.026,0.5625
dstore_imperv_in,max_depth_J756-S,-0.0249,0.5791
IMD,max_depth_J756-S,-0.0206,0.6451
%Imperv,max_depth_J758-S,0.6422,0.0
SubcatchWidth,max_depth_J758-S,0.4281,0.0
n_imperv,max_depth_J758-S,-0.2636,0.0
n_perv,max_depth_J758-S,-0.2552,0.0
slope%,max_depth_J758-S,0.1714,0.0001
dstore_imperv_in,max_depth_J758-S,-0.0357,0.4259
IMD,max_depth_J758-S,-0.0269,0.549
dstore_perv_in,max_depth_J758-S,0.0258,0.5651
%Imperv,max_depth_J760-S,0.6502,0.0
SubcatchWidth,max_depth_J760-S,0.4136,0.0
n_imperv,max_depth_J760-S,-0.2611,0.0
n_perv,max_depth_J760-S,-0.246,0.0
slope%,max_depth_J760-S,0.1672,0.0002
dstore_imperv_in,max_depth_J760-S,-0.0367,0.4123
IMD,max_depth_J760-S,-0.0298,0.5066
dstore_perv_in,max_depth_J760-S,0.0168,0.7086
%Imperv,max_depth_J761-S,0.5939,0.0
SubcatchWidth,max_depth_J761-S,0.4447,0.0
n_perv,max_depth_J761-S,-0.361,0.0
n_imperv,max_depth_J761-S,-0.224,0.0
slope%,max_depth_J761-S,0.1923,0.0
dstore_imperv_in,max_depth_J761-S,-0.0423,0.3456
IMD,max_depth_J761-S,-0.034,0.4485
dstore_perv_in,max_depth_J761-S,0.0229,0.6099
%Imperv,max_depth_J762-S,0.6387,0.0
SubcatchWidth,max_depth_J762-S,0.4197,0.0
n_imperv,max_depth_J762-S,-0.2628,0.0
n_perv,max_depth_J762-S,-0.2587,0.0
slope%,max_depth_J762-S,0.1682,0.0002
dstore_imperv_in,max_depth_J762-S,-0.0362,0.4191
IMD,max_depth_J762-S,-0.0277,0.5363
dstore_perv_in,max_depth_J762-S,0.0188,0.6742
%Imperv,max_depth_J764-S,0.6263,0.0
SubcatchWidth,max_depth_J764-S,0.433,0.0
n_imperv,max_depth_J764-S,-0.2762,0.0
n_perv,max_depth_J764-S,-0.2565,0.0
slope%,max_depth_J764-S,0.177,0.0001
dstore_imperv_in,max_depth_J764-S,-0.0358,0.4248
dstore_perv_in,max_depth_J764-S,0.0305,0.4968
IMD,max_depth_J764-S,-0.0296,0.5092
%Imperv,max_depth_J765-S,0.6356,0.0
SubcatchWidth,max_depth_J765-S,0.4244,0.0
n_imperv,max_depth_J765-S,-0.2699,0.0
n_perv,max_depth_J765-S,-0.243,0.0
slope%,max_depth_J765-S,0.1748,0.0001
dstore_imperv_in,max_depth_J765-S,-0.0363,0.4181
IMD,max_depth_J765-S,-0.0337,0.4517
dstore_perv_in,max_depth_J765-S,0.0259,0.5636
%Imperv,max_depth_J772-S,0.611,0.0
SubcatchWidth,max_depth_J772-S,0.443,0.0
n_perv,max_depth_J772-S,-0.3022,0.0
n_imperv,max_depth_J772-S,-0.2594,0.0
slope%,max_depth_J772-S,0.1832,0.0
dstore_imperv_in,max_depth_J772-S,-0.0311,0.4871
dstore_perv_in,max_depth_J772-S,0.0261,0.56
IMD,max_depth_J772-S,-0.0249,0.5787
%Imperv,max_depth_J78-S,0.636,0.0
SubcatchWidth,max_depth_J78-S,0.4275,0.0
n_perv,max_depth_J78-S,-0.288,0.0
n_imperv,max_depth_J78-S,-0.2447,0.0
slope%,max_depth_J78-S,0.1755,0.0001
dstore_imperv_in,max_depth_J78-S,-0.0358,0.4241
IMD,max_depth_J78-S,-0.0265,0.5538
dstore_perv_in,max_depth_J78-S,0.023,0.6079
n_perv,max_depth_J782-S,-0.7337,0.0
SubcatchWidth,max_depth_J782-S,0.4912,0.0
slope%,max_depth_J782-S,0.2548,0.0
IMD,max_depth_J782-S,-0.1201,0.0072
%Imperv,max_depth_J782-S,0.12,0.0072
dstore_imperv_in,max_depth_J782-S,-0.0444,0.322
dstore_perv_in,max_depth_J782-S,-0.0395,0.378
n_imperv,max_depth_J782-S,-0.0293,0.5126
SubcatchWidth,max_depth_J787-S,0.5342,0.0
n_perv,max_depth_J787-S,-0.4221,0.0
%Imperv,max_depth_J787-S,0.3608,0.0
n_imperv,max_depth_J787-S,-0.2884,0.0
slope%,max_depth_J787-S,0.2185,0.0
dstore_perv_in,max_depth_J787-S,-0.1899,0.0
IMD,max_depth_J787-S,-0.0689,0.1239
dstore_imperv_in,max_depth_J787-S,-0.0183,0.6833
%Imperv,max_depth_J789-S,0.5947,0.0
SubcatchWidth,max_depth_J789-S,0.4426,0.0
n_perv,max_depth_J789-S,-0.369,0.0
n_imperv,max_depth_J789-S,-0.2151,0.0
slope%,max_depth_J789-S,0.1887,0.0
dstore_imperv_in,max_depth_J789-S,-0.0376,0.4017
IMD,max_depth_J789-S,-0.0281,0.5301
dstore_perv_in,max_depth_J789-S,0.0193,0.6671
%Imperv,max_depth_J792-S,0.6204,0.0
SubcatchWidth,max_depth_J792-S,0.4345,0.0
n_perv,max_depth_J792-S,-0.3215,0.0
n_imperv,max_depth_J792-S,-0.2328,0.0
slope%,max_depth_J792-S,0.1811,0.0
dstore_imperv_in,max_depth_J792-S,-0.0326,0.4673
IMD,max_depth_J792-S,-0.0248,0.5797
dstore_perv_in,max_depth_J792-S,0.021,0.6398
%Imperv,max_depth_J799-S,0.6227,0.0
SubcatchWidth,max_depth_J799-S,0.4342,0.0
n_imperv,max_depth_J799-S,-0.278,0.0
n_perv,max_depth_J799-S,-0.2576,0.0
slope%,max_depth_J799-S,0.1778,0.0001
dstore_imperv_in,max_depth_J799-S,-0.0353,0.4315
dstore_perv_in,max_depth_J799-S,0.0308,0.4918
IMD,max_depth_J799-S,-0.0298,0.5068
%Imperv,max_depth_J8-S,0.6252,0.0
SubcatchWidth,max_depth_J8-S,0.4267,0.0
n_imperv,max_depth_J8-S,-0.2942,0.0
n_perv,max_depth_J8-S,-0.2251,0.0
slope%,max_depth_J8-S,0.1788,0.0001
dstore_imperv_in,max_depth_J8-S,-0.0356,0.4274
IMD,max_depth_J8-S,-0.0345,0.4413
dstore_perv_in,max_depth_J8-S,0.031,0.4893
%Imperv,max_depth_J80-S,0.6487,0.0
SubcatchWidth,max_depth_J80-S,0.4187,0.0
n_perv,max_depth_J80-S,-0.2971,0.0
n_imperv,max_depth_J80-S,-0.2288,0.0
slope%,max_depth_J80-S,0.1753,0.0001
dstore_imperv_in,max_depth_J80-S,-0.0371,0.4077
IMD,max_depth_J80-S,-0.0353,0.4313
dstore_perv_in,max_depth_J80-S,0.0186,0.6778
n_perv,max_depth_J801-S,-0.5816,0.0
SubcatchWidth,max_depth_J801-S,0.4627,0.0
%Imperv,max_depth_J801-S,0.4192,0.0
slope%,max_depth_J801-S,0.213,0.0
dstore_perv_in,max_depth_J801-S,-0.1389,0.0018
n_imperv,max_depth_J801-S,-0.0988,0.0272
IMD,max_depth_J801-S,-0.0585,0.1914
dstore_imperv_in,max_depth_J801-S,-0.0388,0.3863
%Imperv,max_depth_J88-S,0.6384,0.0
SubcatchWidth,max_depth_J88-S,0.4263,0.0
n_perv,max_depth_J88-S,-0.2859,0.0
n_imperv,max_depth_J88-S,-0.2422,0.0
slope%,max_depth_J88-S,0.175,0.0001
dstore_imperv_in,max_depth_J88-S,-0.0367,0.4126
IMD,max_depth_J88-S,-0.028,0.5315
dstore_perv_in,max_depth_J88-S,0.0227,0.6128
