run_id,status,SubcatchWidth,%Imperv,dstore_imperv_in,dstore_perv_in,n_perv,n_imperv,slope%,IMD,max_depth_J105-S,max_depth_J10-S,max_depth_J116-S,max_depth_J119-S,max_depth_J128-S,max_depth_J130-S,max_depth_J131-S,max_depth_J136-S,max_depth_J138-S,max_depth_J141-S,max_depth_J157-S,max_depth_J163-S,max_depth_J165-S,max_depth_J171-S,max_depth_J177-S,max_depth_J182-S,max_depth_J191-S,max_depth_J1-S,max_depth_J204-S,max_depth_J208-S,max_depth_J211-S,max_depth_J227-S,max_depth_J231-S,max_depth_J232-S,max_depth_J234-S,max_depth_J238-S,max_depth_J240-S,max_depth_J245-S,max_depth_J253-S,max_depth_J260-S,max_depth_J266-S,max_depth_J268-S,max_depth_J273-S,max_depth_J278-S,max_depth_J27-S,max_depth_J280-S,max_depth_J328-S,max_depth_J329-S,max_depth_J338-S,max_depth_J33-S,max_depth_J34-S,max_depth_J361-S,max_depth_J366-S,max_depth_J385-S,max_depth_J3-S,max_depth_J413-S,max_depth_J421-S,max_depth_J42-S,max_depth_J433-S,max_depth_J437-S,max_depth_J438-S,max_depth_J450-S,max_depth_J456-S,max_depth_J45-S,max_depth_J460-S,max_depth_J461-S,max_depth_J46-S,max_depth_J471-S,max_depth_J480-S,max_depth_J484-S,max_depth_J491-S,max_depth_J492-S,max_depth_J49-S,max_depth_J4-S,max_depth_J506-S,max_depth_J507-S,max_depth_J50-S,max_depth_J512-S,max_depth_J534-S,max_depth_J539-S,max_depth_J541-S,max_depth_J548-S,max_depth_J556-S,max_depth_J567-S,max_depth_J568-S,max_depth_J571-S,max_depth_J576-S,max_depth_J578-S,max_depth_J586-S,max_depth_J587-S,max_depth_J592-S,max_depth_J5-S,max_depth_J609-S,max_depth_J60-S,max_depth_J619-S,max_depth_J620-S,max_depth_J624-S,max_depth_J62-S,max_depth_J632-S,max_depth_J637-S,max_depth_J640-S,max_depth_J659-S,max_depth_J672-S,max_depth_J675-S,max_depth_J686-S,max_depth_J694-S,max_depth_J695-S,max_depth_J712-S,max_depth_J714-S,max_depth_J71-S,max_depth_J722-S,max_depth_J72-S,max_depth_J732-S,max_depth_J733-S,max_depth_J748-S,max_depth_J749-S,max_depth_J751-S,max_depth_J756-S,max_depth_J758-S,max_depth_J760-S,max_depth_J761-S,max_depth_J762-S,max_depth_J764-S,max_depth_J765-S,max_depth_J772-S,max_depth_J782-S,max_depth_J787-S,max_depth_J789-S,max_depth_J78-S,max_depth_J792-S,max_depth_J799-S,max_depth_J7-S,max_depth_J801-S,max_depth_J80-S,max_depth_J88-S,max_depth_J8-S
1,OK,1.4084520879028881,0.9652488972481984,0.16667393649922127,0.20747973710082085,0.6346681517129573,0.022181462658901793,1.3244777205960192,0.06968557427788923,0.48357348939905054,0.5491109184448648,0.6711902641298946,0.33459747861363265,0.42213957757827403,0.8598192614787827,0.35231681025120515,1.1218367173134371,0.5386861590792141,0.4844226322794899,0.7209345462814438,0.4185660465710165,0.39933089653071274,0.3255338342821419,0.4302313112924052,0.5981236623359505,0.5136195223695112,0.28809657421438134,0.36039056973363803,0.5794916496013781,0.47315409821308474,1.170592664797375,0.1385425767264801,0.03780401874861946,0.4309398690283368,0.2862110938223137,0.5224262073384193,0.7070809467643687,0.44099700897312355,0.3773769965389855,0.390599037986416,0.29890762004356963,0.22982802423956528,0.45540481021874335,0.35355988261771615,0.7358016866870396,0.8220690239560349,0.4939571305123615,0.5937733788791841,0.9051988314011363,0.41902802551837565,0.6074310117713535,0.48587947047356217,0.5018624257959119,0.42932855287863336,0.47006387107665726,0.5846486248768493,0.3259878006862161,0.4409872482109979,0.44647625287716597,0.5301987531637049,0.3566944032838191,0.5510890690694327,0.31492808871197386,0.40113014631679034,0.4963520480938477,0.3870363800963068,0.9363527179620054,0.6254142264250526,0.728746663922861,0.5537320557183907,0.30838229005791706,0.33466776727549574,0.5845498203040225,0.620668346123092,0.7454570989867436,0.41482229796421355,0.46386064521316883,0.6368360823611836,0.8868130468416864,0.47760432093178096,0.9192025664081951,0.7590610941852678,0.38182010048554865,0.5977516863313032,0.3033926405763593,0.29326923676731653,0.42374545953264064,0.11176730931232687,0.666736480660671,0.28332760213434954,0.6529040301131932,0.3890299732234984,0.5533942361682478,0.5972628186991726,0.8712498260361181,0.7986001148529327,0.836069447026802,0.36168743834996986,0.5484387245637368,0.40958252037365445,0.6383886135406487,0.4337292161772627,0.6312534491541475,0.4831430753607024,0.06784585588922465,0.37361137645691234,0.4185043058346752,0.5536299563744282,1.0586545213500793,0.2832793995443075,0.3458717583829646,0.7941707043793936,0.43939823445253057,0.18435735264634748,0.5072286915032895,0.3796588993740919,0.6258241661766673,0.3916755338470571,0.2814126084333345,0.736328414437952,0.3236914318583932,0.39276418741094654,0.2370345830352118,0.5959315888325729,0.198503956674146,0.41187917716516287,0.38209777752362306,0.4036583304531034,0.9306146517131375,0.20906164428236537,0.8836383403057624,0.3156387851727821,0.3771190434262942,0.9447749492386739,0.7960070907181664
2,OK,1.161743772734649,0.8196396912496836,0.1439910084741842,0.3294283351073599,0.1760985888318871,0.02315063430320375,1.3711131716023455,0.21550910451128608,0.4778143869503031,0.5924402609588798,0.6795703887423561,0.33794376034999285,0.4390318855318478,0.8670035823736629,0.35599644463010083,1.1286237514870674,0.5491918848448941,0.485219194476903,0.7483690542217993,0.43326590053582137,0.4056626277052392,0.32282575409961667,0.43087963323795386,0.6038317982854826,0.526245040782731,0.3243474051986365,0.3689867833974354,0.5891115224125667,0.48466097518418255,1.1740848388892686,0.13467750583836002,0.03610085768772972,0.44659629446220633,0.28565801888979714,0.5286531797585106,0.715804229175136,0.45678619674810955,0.40042368563421504,0.40672518147961007,0.2792158618505014,0.21281725523456346,0.48000925977722586,0.272375488764194,0.7763568085752712,0.8729860523251003,0.5211173296877321,0.6188267635473477,0.9605731989329085,0.4221246832476841,0.6491211438715703,0.5070192352354546,0.5253870776187414,0.4595914465383116,0.49011376134916673,0.6152116673188366,0.333850034822632,0.4747071211125228,0.44209584380911904,0.561169823399945,0.3836645877411777,0.5480054686969982,0.29146058992888935,0.4090073497501288,0.503811316288014,0.39211180186307365,0.7787817446078525,0.6246396776523222,0.7711607341232791,0.5831109011501052,0.31098954564403225,0.34429053273510674,0.5774741564546044,0.619559183454723,0.7922471687226598,0.427055327867917,0.4946579256890221,0.6494518889411961,0.926960256170339,0.47265392057002054,0.956562844602951,0.8154631972161452,0.3634359490257566,0.48818369381950893,0.28071384137957617,0.33398650707218036,0.43480494528472613,0.12949332152712145,0.7105050018557941,0.3106446701779743,0.6752278420658516,0.3965146942651504,0.5650980805036145,0.6075091950818414,0.9195349625796571,0.8385425117115924,0.8520768935798404,0.3825485870980352,0.5946974131020663,0.44998474640841907,0.6798343557884259,0.44800312520201857,0.6652105399025101,0.48222182874986186,0.0664164997841484,0.3816003244299191,0.41785516551813867,0.573849464336708,1.0686297878335347,0.2825313245848562,0.35106836850756185,0.8201057651593671,0.46130912351872366,0.19583742359426426,0.5176777335313065,0.38357191781440425,0.6568428539347577,0.39625860679627134,0.277381364316943,0.7510537660793202,0.32278919733792,0.39805997517104086,0.2362049542581392,0.6186605702453345,0.20131089097927002,0.3952781671376211,0.40153150141581107,0.408974952497979,0.9605222984396867,0.21422812686585246,0.8800319132289354,0.33867509075848723,0.3803795983547114,0.9628814559018426,0.7925077606363109
3,OK,1.2088908304259682,1.1095489461951167,0.19164136851872177,0.07420310149657944,0.7527386771638805,0.01657872844191221,0.8220586039512102,0.07004275155147113,0.5660663700703199,0.5806601438357305,0.8023358427034522,0.3896700426314874,0.5023235374279484,0.9754911655223263,0.4097545999078464,1.3155119237118933,0.6091597607157953,0.5486302864391185,0.7761655157506279,0.4480132750724459,0.4482342727369124,0.3593166279668063,0.503227088850027,0.6921827732381245,0.5588662571989675,0.2872773812546868,0.39362136249050295,0.6792232214347158,0.524807229764556,1.329280784120877,0.14286913863574105,0.03845416858706846,0.4695939513368294,0.3107209773507246,0.6084473372794894,0.8197084656958122,0.474018925450182,0.390531718444344,0.40716911759680635,0.31042504870585375,0.2425912760976261,0.5151726055704137,0.43517889347642,0.8327350157204909,0.8824852831478406,0.5428026030223168,0.645083873736835,1.0247037419760971,0.4676224212380374,0.6456799342435424,0.5314565821191115,0.5653684929192304,0.5145165165427313,0.5209238139985766,0.6452444533314038,0.34458534829290155,0.4493616462808347,0.5067828402256238,0.5979059183557399,0.3637570060677544,0.6022038783222761,0.3394120980370077,0.4191737283903718,0.5492917908129171,0.43865884977689495,1.0826216670949893,0.7580089508711618,0.7839947492457296,0.5979148491951594,0.34755357676309173,0.3530721353262797,0.6456477523441851,0.7410396806631234,0.8461405882007497,0.45305931029807855,0.5270789388842887,0.7466702191896524,1.030984396090659,0.558506339062647,1.0444736406402733,0.8281347118388971,0.3956819796458467,0.6617309159645421,0.3275991217436589,0.35822308902014854,0.4757728439582738,0.12192773372241836,0.6973108354887696,0.2982171852503326,0.6851336845798994,0.4337347003321158,0.6244647109650583,0.6896734973109004,0.9973285036685972,0.8993820554137856,0.9274773395253793,0.37249520913393025,0.6028180583290415,0.47341846160387246,0.6817556753669303,0.4788103515357235,0.6561343531506459,0.554652742778023,0.06514161691251563,0.42903038877651833,0.48142026291910933,0.6094017961129101,1.173579013739622,0.3203635043347737,0.38148637300033117,0.8712264481595671,0.46559817625039646,0.3146019159122222,0.5680572335285905,0.430493291569614,0.7075806212588376,0.4613269924786486,0.32578350695481606,0.8468521632741608,0.3643995462786882,0.45465784261463577,0.29155553858165717,0.6752516966982731,0.1961875801261691,0.42441979047698675,0.4217244716799213,0.4562239140109315,1.0429414247900344,0.27054973434524726,1.020493929489077,0.3292412837985964,0.41345444403158405,1.1013497435723838,0.8651442734999715
4,OK,1.2964432330058524,0.8382442890337185,0.18932798695910552,0.22639108951458045,0.3853839947111055,0.02675901706280545,1.0225104756881844,0.2420129961070263,0.4357953277365234,0.4962714714115629,0.586853972322422,0.2944397365859335,0.3325690551460324,0.7681009180303366,0.3065848884043157,0.9926471570453553,0.5023684020261929,0.43872762084288597,0.6636724386965744,0.388108488094331,0.371370925276721,0.29531632574412003,0.395442760784442,0.5332514264315893,0.4443859625968718,0.28635888267229365,0.33254306181312,0.5141507339574688,0.42326957258615094,1.071757580702211,0.13412539489202377,0.0367706437630068,0.3957576909839895,0.26157594928607286,0.4759650964882452,0.642113109828753,0.39904089370579754,0.3520335497568454,0.36919644980265565,0.275444523940507,0.20907031797236877,0.39915566824662535,0.2677492516820187,0.6424558356149422,0.7511601509368736,0.4401666874777942,0.5319955923782692,0.7844788939674298,0.38266647793460357,0.5533630662834222,0.42744912148682074,0.44293336452123316,0.36577026511409083,0.4278204344322717,0.5213217873003646,0.30792293694057227,0.41685561376425284,0.4053452479077212,0.4505834898366319,0.3368087756523348,0.5023207999325172,0.28565737891759035,0.3704289410392947,0.4459606611604817,0.3552260800829292,0.7728006901150511,0.5626627487057991,0.6483457694137699,0.49377854983909486,0.2847818192783687,0.31959492428250547,0.5392430657893527,0.5580986413316706,0.646596299684419,0.39071155673593927,0.405872300698189,0.5810063002410945,0.7765145610903018,0.4325886709373954,0.8165297353882177,0.685755100109071,0.34041675360432166,0.47447655800486255,0.27586539315490294,0.24264605192668087,0.3815983058180328,0.09656897627857305,0.6244601306451387,0.256123955984186,0.6215568121483956,0.36347024958659035,0.5056444028719168,0.5515541458901783,0.7568522502264463,0.7123635824080057,0.7722629786694559,0.34290278602239255,0.48995960646941084,0.3639563855629343,0.5882172241380439,0.38988375262507347,0.5891727326701391,0.43833695422622676,0.06836063182345592,0.33611664029253313,0.37741119118096145,0.5030504853881106,0.9663598396402687,0.2542157952935735,0.32453112846893634,0.7239753012396264,0.41795941039714213,0.1560868617098935,0.46311609163024836,0.34659158422733877,0.5654686936750969,0.3546410832057868,0.2521214912242853,0.6615452875351404,0.30016382232295435,0.3441844343239766,0.1994584152058077,0.5350347891431848,0.19677314856486144,0.37494547741114626,0.3376776003468184,0.3737396960475398,0.8404170986517845,0.1595533125163788,0.8143993262250846,0.28572059602441024,0.34770527019157205,0.8475145955235799,0.7384116684044912
5,OK,1.3133483492837237,0.8613036322351721,0.10700730660529381,0.24279494890300438,0.6052181098925303,0.015731457704426445,1.2395461813018982,0.130932074402127,0.43612665513967774,0.49475688532109563,0.5967840366471104,0.2992850734050423,0.3395614715182076,0.7862757628855633,0.3125365970543048,0.9941069247955499,0.5013181556130258,0.4372887411521093,0.6636702304670992,0.3881185489664415,0.36965742416746183,0.29490982611853284,0.39753931534214826,0.5363233347502308,0.44933719943543915,0.2730559681828278,0.3346132691325333,0.5236601286535665,0.4226172334682239,1.068582668107612,0.13362342523543128,0.036462169634566714,0.39793194279665695,0.2601177030959241,0.47898180043420385,0.6465280638804192,0.4048299917216873,0.34491074548330286,0.36810833622862704,0.297353972379914,0.22614381809290057,0.4014341683789576,0.30368750919180665,0.6478956112581389,0.7513730580224531,0.44340506220072373,0.5382337171558207,0.7848780416398053,0.3809738265469006,0.5546797361416329,0.43484741807182103,0.4469284142513492,0.37837898351644184,0.43301802643217624,0.5243663347499881,0.30626819537072403,0.4061350646154501,0.4015190138981819,0.45523666026371834,0.32805124128452423,0.49343932849869454,0.3100686501063535,0.37309811671731397,0.4496908320221336,0.35775487438040116,0.8682865708148999,0.5679960691868042,0.6498465501169661,0.496420235688497,0.28646351120195623,0.31666980277390533,0.5393416116941048,0.5645378765013263,0.6548302034576445,0.38762387448310814,0.40971859652477094,0.5810300401347945,0.7893048234621396,0.43545757290598497,0.8303503439218882,0.6804801823675669,0.3579919437329549,0.5299176211716676,0.2955721848997722,0.24311392305635782,0.3826995620811051,0.09737226959508952,0.6226252265515648,0.25785815388097255,0.6148251732177326,0.3623866636674686,0.5067538305103643,0.5491376937609549,0.7661601337919013,0.7231674735908662,0.7738146266480891,0.34363867127970643,0.49028087928548203,0.36421564109826454,0.5893383552998424,0.39239262762065064,0.5831170496148811,0.43497617140007017,0.06752361856677645,0.3384166812333692,0.37704843029283186,0.5059030436165362,0.9720624758808516,0.2541092535567309,0.323079853608129,0.7278374159867456,0.4130377188621387,0.15729281826157898,0.46241182828424454,0.35058584562862183,0.5791070580708603,0.3579047242384835,0.2525568604416576,0.6616797291575105,0.30028186072410556,0.34900527786774194,0.20154416290575064,0.5425946493676281,0.19710647731030576,0.40095776815994644,0.33693614426218554,0.3744694086941651,0.8416453280291973,0.16427491869618843,0.815542453370115,0.27875795044947965,0.34957552339022946,0.8507080020553315,0.7438303724693849
6,OK,1.2671256961622555,1.1497338574431537,0.12855193637551945,0.3648138380166879,0.22343483627804675,0.03671171413855019,1.2552250432419396,0.1898846687584279,0.514212886445855,0.650101101035588,0.7378592816229185,0.3604175122094319,0.5075567202184387,0.920890628594264,0.38122474137980755,1.2686381658406019,0.5949862994837367,0.5269229212874795,0.821402147591743,0.4747048631654085,0.45276919074864325,0.34054612070766843,0.4710383149203446,0.6573703517873852,0.5615125669651765,0.3324068555339057,0.39756070736565097,0.6303260307397742,0.5294642060053019,1.3014684077534688,0.1425292240246766,0.03910302301868039,0.48453199218078513,0.3020896184560731,0.5860317880181636,0.7903241659284087,0.49874885240563216,0.4572471685869064,0.4435571525593777,0.29143264844822836,0.25056497092573293,0.5329795518956473,0.5285508834032675,0.8616410242187433,0.9486719562701786,0.5736227669327264,0.6794684118627613,1.0904740728651803,0.4552461158091719,0.7224470280162452,0.5646827008668258,0.5728510273631768,0.5296571881129769,0.5283108409634649,0.682145595570175,0.36733824743012916,0.5365736718314251,0.4792228155206461,0.6393342176649932,0.43410896721230635,0.5873958273667906,0.37556710706996943,0.47570189024191567,0.5478806656006094,0.4222944661271777,1.1542607621240206,0.6824971181313538,0.8478642275350663,0.6445896952905434,0.3326615128713114,0.3831548333177354,0.6162875924883965,0.6799687743905742,0.8850635865021899,0.48161741601004315,0.5535138304541138,0.7294022016587389,1.0245628934013942,0.5109972126049888,1.045000796288152,0.9382271527542232,0.44693916920517496,0.7250349079348278,0.33500880565278257,0.5439195261070101,0.503244178234294,0.15224117976956109,0.7692625523883949,0.34328179279644677,0.7560806008996506,0.44238406258705903,0.6248504877422877,0.6944695157269613,1.012128166984196,0.9112017700906787,0.9283330123058037,0.4093729890452534,0.6917807454451801,0.7117176000084404,0.740448217314839,0.48406052367887986,0.7335312192721366,0.5266709441686155,0.07578626901176322,0.43597704277607174,0.455458387711259,0.6283738272624864,1.1635107669150861,0.3031698966226688,0.3834854875304008,0.8771132958780915,0.5187349044066416,0.5570634165340036,0.5733239273157673,0.4100030970624398,0.7245134755090241,0.43546987373783275,0.3066061304347161,1.0819594498725342,0.3468863388903098,0.4247877361536031,0.26295508679742957,0.6745955200904347,0.2031985536727665,0.47069254485467854,0.44412768463084185,0.44720033642538926,1.0765867593360023,0.24010590530565779,0.9636529968737966,0.39656318387710976,0.41072599768150714,1.0763652471387628,0.8179874457077522
7,OK,1.08663500899205,0.9910881980131125,0.14163202203140599,0.07593514090196435,0.30329830587149703,0.024660108948604476,1.1745896692427473,0.21248770838759123,0.5024353774371144,0.5762161334993119,0.6890858594071915,0.3424172220585069,0.44856050387499113,0.8791951907666435,0.36164110485309375,1.1907942264170268,0.5581269543527196,0.5069647930779246,0.7464760277518367,0.4323504131249585,0.42213680848483565,0.3351092726222087,0.4441928583943464,0.6156637922158237,0.527316636634368,0.3279138972190834,0.3696536674036971,0.5947548868583565,0.4889571683699657,1.2306624883379538,0.14059559999237184,0.03893287832329358,0.444551453409068,0.29438817678101026,0.5386057346682984,0.726818091058909,0.4535691421699259,0.4133010096805726,0.40707294166591135,0.2864132788841701,0.2158434796058031,0.4844654089038303,0.338684065241033,0.7828337939844967,0.8570990826309626,0.5180383194900018,0.6149962546454955,0.9582950017099714,0.4382890013569005,0.6340851951212881,0.5036224947838064,0.5238109582125021,0.44929849096937985,0.48537482022448797,0.615284274249881,0.33559694013985436,0.48216544395266514,0.4630962617917269,0.5628556285410249,0.3903857885712785,0.5727174110953978,0.303193259423103,0.41324691272041236,0.5102755175365539,0.3955631237734335,0.889828736811648,0.6446498142673809,0.763258822945353,0.5777107060099749,0.31426253749567135,0.35230718317831766,0.6020600799991132,0.6311981465017652,0.783386451320986,0.44198764650563405,0.486624849498557,0.6627229192928981,0.9233581524301575,0.49557423934632694,0.9513352158774491,0.8148955405219193,0.40738517746372993,0.6013996967202421,0.2942511244934902,0.32223085057774803,0.4376557247203928,0.12150070284314421,0.6933701421442695,0.2976341396296506,0.6953431299590696,0.4081168501891851,0.5699032475977708,0.6350148400477372,0.9149382275067917,0.8319463468636723,0.8582683209714033,0.3724382910654353,0.5787200304406812,0.43720148927751584,0.6645290785504188,0.4499484738232754,0.6613163676726131,0.5001396500515383,0.06649292377448422,0.3921713650371649,0.4333531464577778,0.5724986738018731,1.0854149526757766,0.29257849825105453,0.3623720084282238,0.8192263274183744,0.4735939669552074,0.1957898031863146,0.5291331980556228,0.3873352281728548,0.6451919555171954,0.4009388317089865,0.2931265646354832,0.7670135543345709,0.33518515977552843,0.4038046965293678,0.24567854241563147,0.6160231547560685,0.20051874118883822,0.43401219485350007,0.40132388378185685,0.41332872736214354,0.9644276427522231,0.22068085324615716,0.9211478700793436,0.3530718960630034,0.3854856715185444,0.9751334320515428,0.8042847352484499
8,OK,1.3530821684489234,1.1859450070432376,0.12172644872044937,0.3728644101514663,0.5876642358534934,0.03217173422763141,1.0968695277870377,0.1932940004570336,0.5258943063204506,0.6456841831684031,0.7647363580654339,0.371330787096521,0.5253025646918169,0.9389148453364505,0.3923186630935527,1.2974262017370073,0.6184050782475938,0.5352141334232333,0.8429082544621654,0.48607338232345415,0.45999827712120067,0.34528502121615595,0.4818009371387083,0.6781457623122544,0.5762530277002748,0.2801590900230416,0.40850262249284197,0.6513313422665394,0.535628376590445,1.326430153155345,0.14299457097321688,0.03875737814572541,0.49991542401635836,0.3079806209167949,0.6016082866000243,0.8112568097517632,0.5022984583101076,0.41235647155988875,0.4267429131011522,0.2981250056196411,0.2421488207077206,0.5329214228015162,0.5147637901163771,0.8568648641207373,0.9579317683444202,0.5770455854004368,0.6860196646740859,1.1334674112423,0.46304625988788917,0.7266317967638408,0.5698931733069967,0.5844865393572639,0.5503805989264847,0.5494911630783498,0.6785265497862356,0.37129234385080234,0.48712520341475596,0.49163766141932985,0.635448462494763,0.39457192933849883,0.6047125216859928,0.367971657763332,0.45080517663836006,0.5253289376446316,0.43460120056583595,1.1595369501545822,0.7048048969497538,0.8298635318819059,0.6390529597633646,0.34024130237031014,0.3815302793611708,0.624531466656582,0.6997773496245341,0.8825699985086193,0.48260442677902227,0.5516516828154407,0.722629399536717,1.0685919697455288,0.523369664769564,1.0874012050967818,0.921092080274851,0.39299721345380206,0.6546740605924931,0.3249600420291442,0.5527141446906902,0.5006144102860501,0.1480552504050121,0.7658552984590496,0.33769639952289526,0.7425867588633616,0.4496321227704424,0.6412634143071565,0.7083537576507789,1.0403977070182493,0.9430858918588159,0.9497060035346903,0.4047538812755449,0.6909185308719685,0.7206810314861214,0.7479226313947912,0.5005006880729581,0.7171589622584194,0.5420705103362273,0.06624705876767492,0.44621048370044314,0.46828447635834547,0.6491450126238809,1.1923794111902608,0.31007058692201805,0.3879620361181009,0.9021171282298168,0.5085506695501784,0.5555806608604079,0.5794331927247218,0.42448848857151567,0.7450307547982762,0.448927180501557,0.3132968101191631,1.0750649604556033,0.3544117037174582,0.4408659446439728,0.2731409721524989,0.7000507194125756,0.1985343897319481,0.4215247362618873,0.45740915586964975,0.4582047001298475,1.1067482178296633,0.2544224537949587,0.9841402015775296,0.35075635658639304,0.419731814236825,1.110166245456902,0.8266517258008121
9,OK,0.9087305633599988,1.1083571364794735,0.11778579028142111,0.3291793929352787,0.5703568550316049,0.03979379695664606,0.7615708306543609,0.09743658854251015,0.4545190181586433,0.4594927719891735,0.6098463082209253,0.3061179912543299,0.33823207565372915,0.8000388100424234,0.319993784822734,1.0443816167594062,0.5081311328633495,0.45172201628798125,0.659073546751934,0.38431836226616384,0.3785415659459628,0.30796969243273753,0.40454602993722144,0.5508900240312888,0.45594510011173084,0.24833993952644912,0.33553342461085767,0.5333779546338685,0.43094381160472367,1.0987027740154822,0.1370080833246594,0.039798232288319475,0.3940619318121751,0.2724762842458078,0.4881839115505158,0.6597626290706747,0.38963441447513913,0.3302141545249483,0.35761494377212233,0.26083949812557733,0.19018677689634036,0.3941820445144175,0.2783195365611345,0.6341158660995334,0.728391236686034,0.4273320571476378,0.5197592506866597,0.782618158860606,0.39058571514192597,0.5289804445787931,0.4154737587954993,0.4399756676761334,0.36199646651642825,0.4254292477214445,0.5041843044157857,0.3061258170292067,0.37793522302943744,0.4259575199284885,0.430438936569557,0.30559591991345847,0.5309767939602141,0.26741731737819024,0.34981318241564485,0.43914777877721656,0.36228304114250465,0.769492390995575,0.5843622478191282,0.6267993148128109,0.4748977577552569,0.2910127493253504,0.3184351719145514,0.5544436059399274,0.584007241314548,0.6349329354259095,0.392905471647613,0.39755715429900973,0.5890928448135417,0.7851637346810454,0.4475766865336359,0.8200548921756057,0.6794894291784787,0.31274904846290436,0.44365385100503674,0.2638878561080658,0.22430211683477996,0.3903206368131148,0.08397441320804341,0.5945951794899897,0.23255848879593086,0.6201069082103383,0.3694667567903505,0.5138730724744032,0.5625421655172476,0.750600288150369,0.7077204051631183,0.78448198912592,0.3263521366790603,0.46390984128207235,0.3440470395010181,0.5638945496671222,0.3948861839012744,0.5749001977217607,0.4642600725510173,0.06951788267840017,0.33792768784740396,0.3972325907807479,0.5043463484903947,0.9971955458396429,0.26861928295413373,0.32960484596388506,0.7269478964833226,0.4170343973270429,0.15343028738303324,0.4707004858449658,0.3542338782088374,0.5569949544120136,0.3644619289557967,0.2621081946618279,0.6756577420534573,0.30568440131920604,0.35748857531520595,0.2110244617092868,0.5382064414059282,0.1948965330687737,0.35016787499830737,0.3388748937370622,0.3802674351047985,0.8459284803133057,0.17269349840981535,0.8324870884287597,0.2573608545912386,0.3576944873658223,0.8710802083927633,0.752855762365551
10,OK,0.8522931938534637,1.1822128484113077,0.11814600734199462,0.3971742866312655,0.3011889687391267,0.03924028500911638,1.4668859356953174,0.21968644071635746,0.48232369780417705,0.5967639079414148,0.6660344529759024,0.33232607156379335,0.4335209474386247,0.8574546689470743,0.35122170694184307,1.1605878497871587,0.5570442666271023,0.49742758352148553,0.7548023521616487,0.4377632674741912,0.42380081359639055,0.32598807199409485,0.4352835754265855,0.5978980471872881,0.5238250156977695,0.2875804509671978,0.36724600624579096,0.578723670864159,0.484959332082072,1.2185454326584009,0.14040319459654807,0.039710714878652624,0.4455673186890553,0.2870615154658628,0.5392904922967665,0.7252366488673478,0.4631659543360971,0.4044774583487221,0.41661286929423086,0.27771170433676,0.2268840516587366,0.4761063979513491,0.46093161716606934,0.7699364506477623,0.8809808634715983,0.5242781883768777,0.6261783038281645,0.9728410932737304,0.43263168323924983,0.6563693643239168,0.5157037336164141,0.5252374858255342,0.46749395545132244,0.4921773428332999,0.6152198412505745,0.3439739142665022,0.47653638683171473,0.45515543703861916,0.559594658024335,0.3866073804281561,0.5701765785130646,0.34728036250601835,0.4261869943011671,0.4950260395666316,0.3919453793845791,1.0090333718574436,0.627659934111239,0.7606424991672776,0.5837684999316574,0.31160526463005933,0.3590286807897003,0.5867039994148968,0.6268042487748242,0.7862745118901178,0.4477361627000258,0.491473493983139,0.6507879465106594,0.9230730547842741,0.46872756324881915,0.9517999609538572,0.8286430263941107,0.3761264767757496,0.6078289717755715,0.30959094401808834,0.3482829264533951,0.44010324919669574,0.1296683044497719,0.7139951119789607,0.31048041486510874,0.7049084134384456,0.4092326899177999,0.5736782439554835,0.64031290697011,0.9192334709562328,0.8387456529767399,0.8584923657770839,0.3819110013072373,0.6114760397675079,0.4627619881371523,0.6875827989396283,0.44613602161163357,0.6743092012863514,0.48714174702973634,0.06623004531763624,0.3913352938595068,0.4200893300834466,0.5730036567089656,1.087576634182663,0.28408836007528127,0.362720389141229,0.8226102462574343,0.48140552285561555,0.22952193565957907,0.5270941406236473,0.37922103338644664,0.665742449819892,0.39884493395090936,0.28447741069960647,0.7614701898779627,0.32643577003567914,0.39096814977989747,0.2316235646994395,0.6159671247852512,0.19951860453697554,0.40612850418166024,0.4035121811950214,0.4170707702717944,0.9779793263421506,0.20679500194537154,0.8905874198091024,0.34236340532884946,0.3866625386805943,0.9742706893125463,0.7870468165291101
